county,population_2010,population_2020
Adams County,28550,27477
Allen County,106331,102206
Ashland County,53139,52447
Ashtabula County,101497,97574
Athens County,64757,62431
Auglaize County,45949,46422
Belmont County,70400,66497
Brown County,44846,43676
Butler County,368130,390357
Carroll County,28836,26721
Champaign County,40097,38714
Clark County,138333,136001
Clermont County,197363,208601
Clinton County,42040,42018
Columbiana County,107841,101877
Coshocton County,36901,36612
Crawford County,43784,42025
Cuyahoga County,1280122,1264817
Darke County,52959,51881
Defiance County,39037,38286
Delaware County,174214,214124
Erie County,77079,75622
Fairfield County,146156,158921
Fayette County,29030,28951
Franklin County,1163414,1323807
Fulton County,42698,42713
Gallia County,30934,29220
Geauga County,93389,95397
Greene County,161573,167966
Guernsey County,40087,38438
Hamilton County,802374,830639
Hancock County,74782,74920
Hardin County,32058,30696
Harrison County,15864,14483
Henry County,28215,27662
Highland County,43589,43317
Hocking County,29380,28050
Holmes County,42366,44223
Huron County,59626,58565
Jackson County,33225,32653
Jefferson County,69709,65249
Knox County,60921,62721
Lake County,230041,232603
Lawrence County,62450,58240
Licking County,166492,178519
Logan County,45858,46150
Lorain County,301356,312964
Lucas County,441815,431279
Madison County,43435,43824
Mahoning County,238823,228614
Marion County,66501,65359
Medina County,172332,182470
Meigs County,23770,22210
Mercer County,40814,42528
Miami County,102506,108774
Monroe County,14642,13385
Montgomery County,535153,537309
Morgan County,15054,13802
Morrow County,34827,34950
Muskingum County,86074,86410
Noble County,14645,14115
Ottawa County,41428,40364
Paulding County,19614,18806
Perry County,36058,35408
Pickaway County,55698,58539
Pike County,28709,27088
Portage County,161419,161791
Preble County,42270,40999
Putnam County,34499,34451
Richland County,124475,124936
Ross County,78064,77093
Sandusky County,60944,58896
Scioto County,79499,74008
Seneca County,56745,55069
Shelby County,49423,48230
Stark County,375586,374853
Summit County,541781,540428
Trumbull County,210312,201977
Tuscarawas County,92582,93263
Union County,52300,62784
Van Wert County,28744,28931
Vinton County,13435,12800
Warren County,212693,242337
Washington County,61778,59771
Wayne County,114520,116894
Williams County,37642,37102
Wood County,125488,132248
Wyandot County,22615,21900
